Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-12-18,1034,1059.69,1030.48,1043.41,2182019
2018-12-19,1047.29,1075.71,1019.43,1035.46,2913237
2018-12-20,1026,1047.44,1007.86,1023.58,2683670
2018-12-21,1032.04,1037.67,981.19,991.25,5232490
2018-12-24,984.32,1012.12,977.66,984.67,1817955
2018-12-26,997.99,1048.45,992.645,1047.85,2315862
2018-12-27,1026.2,1053.34,1007,1052.9,2299806
2018-12-28,1059.5,1064.23,1042,1046.68,1718352
2018-12-31,1057.83,1062.99,1033.04,1044.96,1655504
2019-01-02,1027.2,1060.79,1025.28,1054.68,1593395
2019-01-03,1050.67,1066.26,1022.37,1025.47,2097957
2019-01-04,1042.56,1080,1036.86,1078.07,2301428
